D:\Udacity\Data\IMG\center_2020_10_08_01_04_30_691.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_30_691.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_30_691.jpg, 0, 0, 0, 8.034358E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_30_792.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_30_792.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_30_792.jpg, 0, 0, 0, 8.035283E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_30_896.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_30_896.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_30_896.jpg, 0, 0, 0, 8.03526E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_30_996.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_30_996.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_30_996.jpg, 0, 0, 0, 8.045729E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_31_098.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_31_098.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_31_098.jpg, 0, 0, 0, 8.034965E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_31_200.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_31_200.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_31_200.jpg, 0, 0, 0, 8.142239E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_31_303.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_31_303.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_31_303.jpg, 0, 0, 0, 8.047139E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_31_407.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_31_407.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_31_407.jpg, 0, 0, 0, 8.123942E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_31_510.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_31_510.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_31_510.jpg, 0, 0, 0, 8.057743E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_31_611.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_31_611.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_31_611.jpg, 0, 0, 0, 8.070117E-05
D:\Udacity\Data\IMG\center_2020_10_08_01_04_31_714.jpg, D:\Udacity\Data\IMG\left_2020_10_08_01_04_31_714.jpg, D:\Udacity\Data\IMG\right_2020_10_08_01_04_31_714.jpg, 0, 0, 0, 8.069272E-05
